result,table,_start,_stop,_time,_value,_field,_measurement
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:40.558003+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:55.572564+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:10.579185+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:25.596637+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:40.613773+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:55.627302+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:10.632222+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:25.649300+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:40.649460+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:55.662825+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:10.665466+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:25.683800+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:40.690588+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:55.703027+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:10.708991+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:25.716899+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:40.721913+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:55.729089+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:10.732363+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,2,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:25.735667+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:40.558001+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:09:55.572561+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:10.579181+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:25.596634+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:40.613770+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:55.627300+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:10.632219+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:25.649187+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:40.649457+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:55.662822+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:10.665464+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:25.683796+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:40.690574+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:55.703024+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:10.708989+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:25.716897+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:40.721911+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
_result,3,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:55.729087+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,KELABO1-----BS1---KFU1
