#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:26:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:26:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:27:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:27:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:27:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:27:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:28:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:28:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:28:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:28:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:29:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:29:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:29:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:29:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:30:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:30:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:30:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:30:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:31:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:31:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:31:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:31:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:32:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:32:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:32:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:32:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
,,15,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:33:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,KELABO1-----BS1---KFU1
